id,name,property,state,responses,rating,image,map
11,Lindgren Springs Ranch,Helmer Landing Ridge,Washington,42,96,https://timcamp.s3-us-west-1.amazonaws.com/camp53.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d87136.04105639421!2d-123.01201287000266!3d46.961664804994264!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5491713b3b939523%3A0xfaeb325183951806!2sHealing%20Hearts%20Ranch!5e0!3m2!1sen!2sus!4v1601598088967!5m2!1sen!2sus
12,Vicky Ridge Camp,Lilly Avenue Farm,Florida,36,100,https://timcamp.s3-us-west-1.amazonaws.com/camp111.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55094.86466806726!2d-83.32368242044049!3d30.338754311563658!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88eebfcd86d5598d%3A0x15778544bb77d6b3!2sHome%20Field%20Advantage%20Farmstead!5e0!3m2!1sen!2sus!4v1601597183825!5m2!1sen!2sus
13,Marquardt Woods,Gibson Gardens Resort,California,1981,98,https://timcamp.s3-us-west-1.amazonaws.com/camp27.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d26437.75777640662!2d-116.54228946132449!3d34.076698423888004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x80db253a8e4edd49%3A0xaa1bb38ea32f703c!2sThe%20Desert%20Rose%20Collective!5e0!3m2!1sen!2sus!4v1601597006195!5m2!1sen!2sus
14,Lindgren Lake Camping Site,VonRueden Isle Forest,Washington,8,100,https://timcamp.s3-us-west-1.amazonaws.com/camp19.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d87136.04105639421!2d-123.01201287000266!3d46.961664804994264!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5491713b3b939523%3A0xfaeb325183951806!2sHealing%20Hearts%20Ranch!5e0!3m2!1sen!2sus!4v1601598088967!5m2!1sen!2sus
15,Grant Inlet Farm,Kohler Locks Ranch,Washington,130,99,https://timcamp.s3-us-west-1.amazonaws.com/camp243.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d87136.04105639421!2d-123.01201287000266!3d46.961664804994264!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5491713b3b939523%3A0xfaeb325183951806!2sHealing%20Hearts%20Ranch!5e0!3m2!1sen!2sus!4v1601598088967!5m2!1sen!2sus
16,Murray Woods,Block Knoll Creek,California,233,90,https://timcamp.s3-us-west-1.amazonaws.com/camp137.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d26437.75777640662!2d-116.54228946132449!3d34.076698423888004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x80db253a8e4edd49%3A0xaa1bb38ea32f703c!2sThe%20Desert%20Rose%20Collective!5e0!3m2!1sen!2sus!4v1601597006195!5m2!1sen!2sus
17,Armstrong Owl Farm,Samantha Burg Ridge,California,252,94,https://timcamp.s3-us-west-1.amazonaws.com/camp175.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d26437.75777640662!2d-116.54228946132449!3d34.076698423888004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x80db253a8e4edd49%3A0xaa1bb38ea32f703c!2sThe%20Desert%20Rose%20Collective!5e0!3m2!1sen!2sus!4v1601597006195!5m2!1sen!2sus
18,Runolfsdottir Bear Camping Site,Swaniawski Ports Creek,California,11,97,https://timcamp.s3-us-west-1.amazonaws.com/camp134.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d26437.75777640662!2d-116.54228946132449!3d34.076698423888004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x80db253a8e4edd49%3A0xaa1bb38ea32f703c!2sThe%20Desert%20Rose%20Collective!5e0!3m2!1sen!2sus!4v1601597006195!5m2!1sen!2sus
19,Langosh Bear Camping,Runte Pass Camp,Washington,1208,92,https://timcamp.s3-us-west-1.amazonaws.com/camp64.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d87136.04105639421!2d-123.01201287000266!3d46.961664804994264!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5491713b3b939523%3A0xfaeb325183951806!2sHealing%20Hearts%20Ranch!5e0!3m2!1sen!2sus!4v1601598088967!5m2!1sen!2sus
20,Stanton Lake,Donnelly Dale Forest,California,14,100,https://timcamp.s3-us-west-1.amazonaws.com/camp262.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d26437.75777640662!2d-116.54228946132449!3d34.076698423888004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x80db253a8e4edd49%3A0xaa1bb38ea32f703c!2sThe%20Desert%20Rose%20Collective!5e0!3m2!1sen!2sus!4v1601597006195!5m2!1sen!2sus
21,Westley Ville Farm,Tromp Ways Sanctuary,California,29,100,https://timcamp.s3-us-west-1.amazonaws.com/camp85.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d26437.75777640662!2d-116.54228946132449!3d34.076698423888004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x80db253a8e4edd49%3A0xaa1bb38ea32f703c!2sThe%20Desert%20Rose%20Collective!5e0!3m2!1sen!2sus!4v1601597006195!5m2!1sen!2sus
22,McLaughlin Ranch,Ritchie Pass Sanctuary,Washington,6,85,https://timcamp.s3-us-west-1.amazonaws.com/camp211.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d87136.04105639421!2d-123.01201287000266!3d46.961664804994264!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5491713b3b939523%3A0xfaeb325183951806!2sHealing%20Hearts%20Ranch!5e0!3m2!1sen!2sus!4v1601598088967!5m2!1sen!2sus
23,Osvaldo Mission Camping,Gaylord Crossing Ridge,California,504,95,https://timcamp.s3-us-west-1.amazonaws.com/camp126.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d26437.75777640662!2d-116.54228946132449!3d34.076698423888004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x80db253a8e4edd49%3A0xaa1bb38ea32f703c!2sThe%20Desert%20Rose%20Collective!5e0!3m2!1sen!2sus!4v1601597006195!5m2!1sen!2sus
24,Rowe Village Lake,Santina Extension Ranch,Washington,44,100,https://timcamp.s3-us-west-1.amazonaws.com/camp235.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d87136.04105639421!2d-123.01201287000266!3d46.961664804994264!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5491713b3b939523%3A0xfaeb325183951806!2sHealing%20Hearts%20Ranch!5e0!3m2!1sen!2sus!4v1601598088967!5m2!1sen!2sus
25,Harvey Squares Camping Site,Demario Creek Land,Maine,1507,96,https://timcamp.s3-us-west-1.amazonaws.com/camp81.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d92691.04435888634!2d-70.55007934228574!3d43.44817099174576!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4cb2af789390c709%3A0xfaac2f30f3b90287!2sSwamp%20Grass%20Ln%2C%20Arundel%2C%20ME%2004046!5e0!3m2!1sen!2sus!4v1601597899941!5m2!1sen!2sus
26,Rolfson Lake,Lang Plain Ridge,Florida,18,85,https://timcamp.s3-us-west-1.amazonaws.com/camp116.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55094.86466806726!2d-83.32368242044049!3d30.338754311563658!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88eebfcd86d5598d%3A0x15778544bb77d6b3!2sHome%20Field%20Advantage%20Farmstead!5e0!3m2!1sen!2sus!4v1601597183825!5m2!1sen!2sus
27,Jalyn Loop Ranch,Winnifred Fall Land,Maine,40,100,https://timcamp.s3-us-west-1.amazonaws.com/camp56.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d92691.04435888634!2d-70.55007934228574!3d43.44817099174576!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4cb2af789390c709%3A0xfaac2f30f3b90287!2sSwamp%20Grass%20Ln%2C%20Arundel%2C%20ME%2004046!5e0!3m2!1sen!2sus!4v1601597899941!5m2!1sen!2sus
28,Hessel Wolf Lake,Rogers Villages Ridge,Texas,21,100,https://timcamp.s3-us-west-1.amazonaws.com/camp88.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55316.95401155341!2d-97.42215203153161!3d29.94177138075298!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x864361d21567bf83%3A0x6f8fcfd7dd30d88e!2sArdor%20Wood%20Farm!5e0!3m2!1sen!2sus!4v1601511502193!5m2!1sen!2sus
29,Emard Forges Camp,Dare Mountain Sanctuary,Washington,24,86,https://timcamp.s3-us-west-1.amazonaws.com/camp104.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d87136.04105639421!2d-123.01201287000266!3d46.961664804994264!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5491713b3b939523%3A0xfaeb325183951806!2sHealing%20Hearts%20Ranch!5e0!3m2!1sen!2sus!4v1601598088967!5m2!1sen!2sus
30,Graham Solitude,Spencer Hills Campground,Maine,35,100,https://timcamp.s3-us-west-1.amazonaws.com/camp2.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d92691.04435888634!2d-70.55007934228574!3d43.44817099174576!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4cb2af789390c709%3A0xfaac2f30f3b90287!2sSwamp%20Grass%20Ln%2C%20Arundel%2C%20ME%2004046!5e0!3m2!1sen!2sus!4v1601597899941!5m2!1sen!2sus
31,Bruen Walks Camp,Tremayne Causeway Summit,Florida,332,93,https://timcamp.s3-us-west-1.amazonaws.com/camp224.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55094.86466806726!2d-83.32368242044049!3d30.338754311563658!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88eebfcd86d5598d%3A0x15778544bb77d6b3!2sHome%20Field%20Advantage%20Farmstead!5e0!3m2!1sen!2sus!4v1601597183825!5m2!1sen!2sus
32,Balistreri Owl Camping,Verlie Rapids Campground,Maine,37,100,https://timcamp.s3-us-west-1.amazonaws.com/camp258.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d92691.04435888634!2d-70.55007934228574!3d43.44817099174576!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4cb2af789390c709%3A0xfaac2f30f3b90287!2sSwamp%20Grass%20Ln%2C%20Arundel%2C%20ME%2004046!5e0!3m2!1sen!2sus!4v1601597899941!5m2!1sen!2sus
33,Viola Track Ranch,Cheyanne Trail Resort,Texas,25,100,https://timcamp.s3-us-west-1.amazonaws.com/camp222.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55316.95401155341!2d-97.42215203153161!3d29.94177138075298!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x864361d21567bf83%3A0x6f8fcfd7dd30d88e!2sArdor%20Wood%20Farm!5e0!3m2!1sen!2sus!4v1601511502193!5m2!1sen!2sus
34,Tyrique Hills Lake,Cruickshank Coves Land,California,46,96,https://timcamp.s3-us-west-1.amazonaws.com/camp96.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d26437.75777640662!2d-116.54228946132449!3d34.076698423888004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x80db253a8e4edd49%3A0xaa1bb38ea32f703c!2sThe%20Desert%20Rose%20Collective!5e0!3m2!1sen!2sus!4v1601597006195!5m2!1sen!2sus
35,Chauncey Rapids Woods,Alta Mountains Ranch,Maine,1,95,https://timcamp.s3-us-west-1.amazonaws.com/camp201.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d92691.04435888634!2d-70.55007934228574!3d43.44817099174576!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4cb2af789390c709%3A0xfaac2f30f3b90287!2sSwamp%20Grass%20Ln%2C%20Arundel%2C%20ME%2004046!5e0!3m2!1sen!2sus!4v1601597899941!5m2!1sen!2sus
36,Johnson Burgs Farm,Lorena Mountains Resort,California,2,100,https://timcamp.s3-us-west-1.amazonaws.com/camp86.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d26437.75777640662!2d-116.54228946132449!3d34.076698423888004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x80db253a8e4edd49%3A0xaa1bb38ea32f703c!2sThe%20Desert%20Rose%20Collective!5e0!3m2!1sen!2sus!4v1601597006195!5m2!1sen!2sus
37,O''Connell Eagle Ranch,Gleichner Harbors Creek,Texas,360,96,https://timcamp.s3-us-west-1.amazonaws.com/camp62.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55316.95401155341!2d-97.42215203153161!3d29.94177138075298!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x864361d21567bf83%3A0x6f8fcfd7dd30d88e!2sArdor%20Wood%20Farm!5e0!3m2!1sen!2sus!4v1601511502193!5m2!1sen!2sus
38,Rempel Bear Camping,Trenton Rapids Forest,California,14,100,https://timcamp.s3-us-west-1.amazonaws.com/camp98.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d26437.75777640662!2d-116.54228946132449!3d34.076698423888004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x80db253a8e4edd49%3A0xaa1bb38ea32f703c!2sThe%20Desert%20Rose%20Collective!5e0!3m2!1sen!2sus!4v1601597006195!5m2!1sen!2sus
39,Alisa Canyon Woods,Mosciski Island Land,Maine,33,92,https://timcamp.s3-us-west-1.amazonaws.com/camp148.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d92691.04435888634!2d-70.55007934228574!3d43.44817099174576!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4cb2af789390c709%3A0xfaac2f30f3b90287!2sSwamp%20Grass%20Ln%2C%20Arundel%2C%20ME%2004046!5e0!3m2!1sen!2sus!4v1601597899941!5m2!1sen!2sus
40,Conn Getaway,Lennie Light Farm,Texas,35,100,https://timcamp.s3-us-west-1.amazonaws.com/camp260.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55316.95401155341!2d-97.42215203153161!3d29.94177138075298!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x864361d21567bf83%3A0x6f8fcfd7dd30d88e!2sArdor%20Wood%20Farm!5e0!3m2!1sen!2sus!4v1601511502193!5m2!1sen!2sus
41,Hahn Getaway,King Corner Farm,California,48,100,https://timcamp.s3-us-west-1.amazonaws.com/camp114.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d26437.75777640662!2d-116.54228946132449!3d34.076698423888004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x80db253a8e4edd49%3A0xaa1bb38ea32f703c!2sThe%20Desert%20Rose%20Collective!5e0!3m2!1sen!2sus!4v1601597006195!5m2!1sen!2sus
42,Wiza Flat Ranch,Cole Forge Land,Maine,32,100,https://timcamp.s3-us-west-1.amazonaws.com/camp82.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d92691.04435888634!2d-70.55007934228574!3d43.44817099174576!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4cb2af789390c709%3A0xfaac2f30f3b90287!2sSwamp%20Grass%20Ln%2C%20Arundel%2C%20ME%2004046!5e0!3m2!1sen!2sus!4v1601597899941!5m2!1sen!2sus
43,Elda Turnpike Solitude,Marguerite Fall Farm,Texas,18,100,https://timcamp.s3-us-west-1.amazonaws.com/camp35.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55316.95401155341!2d-97.42215203153161!3d29.94177138075298!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x864361d21567bf83%3A0x6f8fcfd7dd30d88e!2sArdor%20Wood%20Farm!5e0!3m2!1sen!2sus!4v1601511502193!5m2!1sen!2sus
44,Crawford Meadow Canyon,Heathcote Club Camp,California,40,100,https://timcamp.s3-us-west-1.amazonaws.com/camp240.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d26437.75777640662!2d-116.54228946132449!3d34.076698423888004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x80db253a8e4edd49%3A0xaa1bb38ea32f703c!2sThe%20Desert%20Rose%20Collective!5e0!3m2!1sen!2sus!4v1601597006195!5m2!1sen!2sus
45,Paucek Unions Lake,Efrain Field Land,California,26,100,https://timcamp.s3-us-west-1.amazonaws.com/camp172.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d26437.75777640662!2d-116.54228946132449!3d34.076698423888004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x80db253a8e4edd49%3A0xaa1bb38ea32f703c!2sThe%20Desert%20Rose%20Collective!5e0!3m2!1sen!2sus!4v1601597006195!5m2!1sen!2sus
46,Muller Fox Woods,Minnie Plaza Farm,Texas,13,100,https://timcamp.s3-us-west-1.amazonaws.com/camp178.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55316.95401155341!2d-97.42215203153161!3d29.94177138075298!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x864361d21567bf83%3A0x6f8fcfd7dd30d88e!2sArdor%20Wood%20Farm!5e0!3m2!1sen!2sus!4v1601511502193!5m2!1sen!2sus
47,Trantow Getaway,Nyasia Meadows Resort,Washington,697,94,https://timcamp.s3-us-west-1.amazonaws.com/camp110.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d87136.04105639421!2d-123.01201287000266!3d46.961664804994264!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5491713b3b939523%3A0xfaeb325183951806!2sHealing%20Hearts%20Ranch!5e0!3m2!1sen!2sus!4v1601598088967!5m2!1sen!2sus
48,Larson Bear Camping Site,Lulu Skyway Forest,Washington,113,99,https://timcamp.s3-us-west-1.amazonaws.com/camp34.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d87136.04105639421!2d-123.01201287000266!3d46.961664804994264!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5491713b3b939523%3A0xfaeb325183951806!2sHealing%20Hearts%20Ranch!5e0!3m2!1sen!2sus!4v1601598088967!5m2!1sen!2sus
49,Cary Burg Solitude,Velda Gateway Sanctuary,Maine,94,95,https://timcamp.s3-us-west-1.amazonaws.com/camp66.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d92691.04435888634!2d-70.55007934228574!3d43.44817099174576!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4cb2af789390c709%3A0xfaac2f30f3b90287!2sSwamp%20Grass%20Ln%2C%20Arundel%2C%20ME%2004046!5e0!3m2!1sen!2sus!4v1601597899941!5m2!1sen!2sus
50,Gutkowski Green Ranch,O''Keefe Highway Ranch,Washington,337,98,https://timcamp.s3-us-west-1.amazonaws.com/camp42.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d87136.04105639421!2d-123.01201287000266!3d46.961664804994264!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5491713b3b939523%3A0xfaeb325183951806!2sHealing%20Hearts%20Ranch!5e0!3m2!1sen!2sus!4v1601598088967!5m2!1sen!2sus
51,Alexa Plaza Camping Site,Armand Locks Land,Texas,996,99,https://timcamp.s3-us-west-1.amazonaws.com/camp91.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55316.95401155341!2d-97.42215203153161!3d29.94177138075298!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x864361d21567bf83%3A0x6f8fcfd7dd30d88e!2sArdor%20Wood%20Farm!5e0!3m2!1sen!2sus!4v1601511502193!5m2!1sen!2sus
52,Christiansen Pines Camp,Swift Junction Ridge,Washington,807,91,https://timcamp.s3-us-west-1.amazonaws.com/camp216.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d87136.04105639421!2d-123.01201287000266!3d46.961664804994264!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5491713b3b939523%3A0xfaeb325183951806!2sHealing%20Hearts%20Ranch!5e0!3m2!1sen!2sus!4v1601598088967!5m2!1sen!2sus
53,Pacocha Eagle Camping Site,Demetrius Fords Camp,Washington,913,91,https://timcamp.s3-us-west-1.amazonaws.com/camp1.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d87136.04105639421!2d-123.01201287000266!3d46.961664804994264!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5491713b3b939523%3A0xfaeb325183951806!2sHealing%20Hearts%20Ranch!5e0!3m2!1sen!2sus!4v1601598088967!5m2!1sen!2sus
54,Macie Crossing Ranch,Reyes Parkways Forest,California,47,100,https://timcamp.s3-us-west-1.amazonaws.com/camp20.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d26437.75777640662!2d-116.54228946132449!3d34.076698423888004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x80db253a8e4edd49%3A0xaa1bb38ea32f703c!2sThe%20Desert%20Rose%20Collective!5e0!3m2!1sen!2sus!4v1601597006195!5m2!1sen!2sus
